team,snapshot_date,squad_strength_delta,attack_delta,defense_delta,availability_delta,source_url,notes
Mexico,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
South Africa,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
South Korea,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Czechia,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Canada,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Bosnia and Herzegovina,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Qatar,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Switzerland,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Brazil,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Morocco,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Haiti,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Scotland,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
United States,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Paraguay,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Australia,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Turkey,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Germany,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Curaçao,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Ivory Coast,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Ecuador,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Netherlands,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Japan,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Sweden,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Tunisia,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Belgium,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Egypt,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Iran,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
New Zealand,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Spain,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Cape Verde,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Saudi Arabia,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Uruguay,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
France,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Senegal,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Iraq,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Norway,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Argentina,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Algeria,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Austria,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Jordan,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Portugal,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
DR Congo,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Uzbekistan,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Colombia,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
England,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Croatia,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Ghana,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
Panama,2026-06-01,0.0,0.0,0.0,0.0,,Fill with pre-tournament squad adjustments
