team,as_of_date,metric_name,metric_value,source_name,source_url,notes
Mexico,2026-06-01,,,,,Document source used to justify squad hook adjustments
South Africa,2026-06-01,,,,,Document source used to justify squad hook adjustments
South Korea,2026-06-01,,,,,Document source used to justify squad hook adjustments
Czechia,2026-06-01,,,,,Document source used to justify squad hook adjustments
Canada,2026-06-01,,,,,Document source used to justify squad hook adjustments
Bosnia and Herzegovina,2026-06-01,,,,,Document source used to justify squad hook adjustments
Qatar,2026-06-01,,,,,Document source used to justify squad hook adjustments
Switzerland,2026-06-01,,,,,Document source used to justify squad hook adjustments
Brazil,2026-06-01,,,,,Document source used to justify squad hook adjustments
Morocco,2026-06-01,,,,,Document source used to justify squad hook adjustments
Haiti,2026-06-01,,,,,Document source used to justify squad hook adjustments
Scotland,2026-06-01,,,,,Document source used to justify squad hook adjustments
United States,2026-06-01,,,,,Document source used to justify squad hook adjustments
Paraguay,2026-06-01,,,,,Document source used to justify squad hook adjustments
Australia,2026-06-01,,,,,Document source used to justify squad hook adjustments
Turkey,2026-06-01,,,,,Document source used to justify squad hook adjustments
Germany,2026-06-01,,,,,Document source used to justify squad hook adjustments
Curaçao,2026-06-01,,,,,Document source used to justify squad hook adjustments
Ivory Coast,2026-06-01,,,,,Document source used to justify squad hook adjustments
Ecuador,2026-06-01,,,,,Document source used to justify squad hook adjustments
Netherlands,2026-06-01,,,,,Document source used to justify squad hook adjustments
Japan,2026-06-01,,,,,Document source used to justify squad hook adjustments
Sweden,2026-06-01,,,,,Document source used to justify squad hook adjustments
Tunisia,2026-06-01,,,,,Document source used to justify squad hook adjustments
Belgium,2026-06-01,,,,,Document source used to justify squad hook adjustments
Egypt,2026-06-01,,,,,Document source used to justify squad hook adjustments
Iran,2026-06-01,,,,,Document source used to justify squad hook adjustments
New Zealand,2026-06-01,,,,,Document source used to justify squad hook adjustments
Spain,2026-06-01,,,,,Document source used to justify squad hook adjustments
Cape Verde,2026-06-01,,,,,Document source used to justify squad hook adjustments
Saudi Arabia,2026-06-01,,,,,Document source used to justify squad hook adjustments
Uruguay,2026-06-01,,,,,Document source used to justify squad hook adjustments
France,2026-06-01,,,,,Document source used to justify squad hook adjustments
Senegal,2026-06-01,,,,,Document source used to justify squad hook adjustments
Iraq,2026-06-01,,,,,Document source used to justify squad hook adjustments
Norway,2026-06-01,,,,,Document source used to justify squad hook adjustments
Argentina,2026-06-01,,,,,Document source used to justify squad hook adjustments
Algeria,2026-06-01,,,,,Document source used to justify squad hook adjustments
Austria,2026-06-01,,,,,Document source used to justify squad hook adjustments
Jordan,2026-06-01,,,,,Document source used to justify squad hook adjustments
Portugal,2026-06-01,,,,,Document source used to justify squad hook adjustments
DR Congo,2026-06-01,,,,,Document source used to justify squad hook adjustments
Uzbekistan,2026-06-01,,,,,Document source used to justify squad hook adjustments
Colombia,2026-06-01,,,,,Document source used to justify squad hook adjustments
England,2026-06-01,,,,,Document source used to justify squad hook adjustments
Croatia,2026-06-01,,,,,Document source used to justify squad hook adjustments
Ghana,2026-06-01,,,,,Document source used to justify squad hook adjustments
Panama,2026-06-01,,,,,Document source used to justify squad hook adjustments
