team,confederation,host_country_flag
Abkhazia,UNKNOWN,0
Afghanistan,AFC,0
Albania,UEFA,0
Alderney,UNKNOWN,0
Algeria,CAF,0
Ambazonia,UNKNOWN,0
American Samoa,OFC,0
Andalusia,UNKNOWN,0
Andorra,UNKNOWN,0
Angola,CAF,0
Anguilla,UNKNOWN,0
Antigua and Barbuda,CONCACAF,0
Arameans Suryoye,UNKNOWN,0
Argentina,CONMEBOL,0
Armenia,UEFA,0
Artsakh,UNKNOWN,0
Aruba,CONCACAF,0
Asturias,UNKNOWN,0
Australia,AFC,0
Austria,UEFA,0
Aymara,UNKNOWN,0
Azerbaijan,UEFA,0
Bahamas,CONCACAF,0
Bahrain,AFC,0
Bangladesh,AFC,0
Barawa,UNKNOWN,0
Barbados,CONCACAF,0
Basque Country,UNKNOWN,0
Belarus,UEFA,0
Belgium,UEFA,0
Belize,UNKNOWN,0
Benin,CAF,0
Bermuda,CONCACAF,0
Bhutan,UNKNOWN,0
Biafra,UNKNOWN,0
Bolivia,CONMEBOL,0
Bonaire,UNKNOWN,0
Bosnia and Herzegovina,UEFA,0
Botswana,CAF,0
Brazil,CONMEBOL,0
British Virgin Islands,UNKNOWN,0
Brittany,UNKNOWN,0
Brunei,AFC,0
Bulgaria,UEFA,0
Burkina Faso,CAF,0
Burundi,CAF,0
Cambodia,AFC,0
Cameroon,CAF,0
Canada,CONCACAF,1
Canary Islands,UNKNOWN,0
Cape Verde,CAF,0
Cascadia,UNKNOWN,0
Catalonia,UNKNOWN,0
Cayman Islands,CONCACAF,0
Central African Republic,CAF,0
Central Spain,UNKNOWN,0
Chad,CAF,0
Chagos Islands,UNKNOWN,0
Chameria,UNKNOWN,0
Chechnya,UNKNOWN,0
Chile,CONMEBOL,0
China,AFC,0
Cilento,UNKNOWN,0
Colombia,CONMEBOL,0
Comoros,UNKNOWN,0
Congo,UNKNOWN,0
Cook Islands,OFC,0
Corsica,UNKNOWN,0
Costa Rica,CONCACAF,0
County of Nice,UNKNOWN,0
Crimea,UNKNOWN,0
Croatia,UEFA,0
Cuba,CONCACAF,0
Curaçao,CONCACAF,0
Cyprus,UEFA,0
Czech Republic,UEFA,0
Czechoslovakia,UNKNOWN,0
DR Congo,CAF,0
Darfur,UNKNOWN,0
Denmark,UEFA,0
Djibouti,UNKNOWN,0
Dominica,CONCACAF,0
Dominican Republic,UNKNOWN,0
Donetsk PR,UNKNOWN,0
Délvidék,UNKNOWN,0
East Turkestan,UNKNOWN,0
Ecuador,CONMEBOL,0
Egypt,CAF,0
El Salvador,CONCACAF,0
Elba Island,UNKNOWN,0
Ellan Vannin,UNKNOWN,0
England,UEFA,0
Equatorial Guinea,CAF,0
Eritrea,CAF,0
Estonia,UEFA,0
Eswatini,UNKNOWN,0
Ethiopia,CAF,0
Falkland Islands,UNKNOWN,0
Faroe Islands,UNKNOWN,0
Felvidék,UNKNOWN,0
Fiji,OFC,0
Finland,UEFA,0
France,UEFA,0
Franconia,UNKNOWN,0
French Guiana,UNKNOWN,0
Frøya,UNKNOWN,0
Gabon,CAF,0
Galicia,UNKNOWN,0
Gambia,CAF,0
Georgia,UEFA,0
German DR,UNKNOWN,0
Germany,UEFA,0
Ghana,CAF,0
Gibraltar,UNKNOWN,0
Gotland,UNKNOWN,0
Gozo,UNKNOWN,0
Greece,UEFA,0
Greenland,UNKNOWN,0
Grenada,CONCACAF,0
Guadeloupe,UNKNOWN,0
Guam,UNKNOWN,0
Guatemala,CONCACAF,0
Guernsey,UNKNOWN,0
Guinea,CAF,0
Guinea-Bissau,CAF,0
Guyana,CONCACAF,0
Găgăuzia,UNKNOWN,0
Haiti,CONCACAF,0
Hitra,UNKNOWN,0
Hmong,UNKNOWN,0
Honduras,CONCACAF,0
Hong Kong,AFC,0
Hungary,UEFA,0
Iceland,UEFA,0
India,AFC,0
Indonesia,AFC,0
Iran,AFC,0
Iraq,AFC,0
Iraqi Kurdistan,UNKNOWN,0
Isle of Man,UNKNOWN,0
Isle of Wight,UNKNOWN,0
Israel,UEFA,0
Italy,UEFA,0
Ivory Coast,CAF,0
Jamaica,CONCACAF,0
Japan,AFC,0
Jersey,UNKNOWN,0
Jordan,AFC,0
