group_name,team,latest_rating,latest_rating_date,confederation,is_host,form_ppg_5,form_ppg_10,gd_5,gf_10,ga_10,opp_avg_rating_10,rest_days,matches_seen,round_of_32_pct,round_of_16_pct,quarterfinal_pct,semifinal_pct,final_pct,champion_pct
H,Spain,2092.29,2026-03-31,UEFA,0.0,2.2,2.4,2.2,3.1,0.8,1746.5733,62.0,20.0,0.99,0.785,0.625,0.495,0.335,0.24
J,Argentina,2069.21,2026-03-31,CONMEBOL,0.0,3.0,2.5,3.0,2.5,0.4,1695.8102,62.0,20.0,0.995,0.7,0.585,0.395,0.295,0.185
I,France,2027.05,2026-03-29,UEFA,0.0,2.6,2.5,1.8,2.7,1.1,1749.6181999999997,64.0,20.0,0.945,0.7,0.445,0.32,0.175,0.105
C,Brazil,1948.66,2026-05-31,CONMEBOL,0.0,2.0,1.9,1.4,2.4,1.0,1812.5126,1.0,20.0,0.96,0.665,0.46,0.26,0.13,0.065
K,Colombia,1936.59,2026-03-29,CONMEBOL,0.0,1.4,1.8,0.2,2.1,1.0,1842.1391000000003,64.0,20.0,0.915,0.74,0.43,0.21,0.095,0.055
E,Ecuador,1929.89,2026-05-30,CONMEBOL,0.0,1.8,1.6,0.6,0.9,0.5,1829.743,2.0,20.0,0.935,0.63,0.405,0.24,0.125,0.055
A,Mexico,1900.79,2026-05-30,CONCACAF,1.0,2.2,1.9,1.4,1.2,0.4,1790.1473999999998,2.0,20.0,0.99,0.66,0.35,0.18,0.075,0.045
C,Morocco,1905.3,2026-05-26,CAF,0.0,2.2,2.4,1.8,2.0,0.3,1668.4019,6.0,20.0,0.9,0.48,0.3,0.175,0.09,0.04
K,Portugal,1943.81,2026-03-31,UEFA,0.0,1.6,2.1,1.6,2.6,1.0,1732.4096999999997,62.0,20.0,0.865,0.565,0.27,0.135,0.08,0.035
E,Germany,1913.03,2026-05-31,UEFA,0.0,3.0,2.4,2.8,2.6,0.9,1641.4125,1.0,20.0,0.925,0.535,0.27,0.14,0.05,0.03
L,England,1957.86,2026-03-31,UEFA,0.0,2.0,2.2,1.6,2.2,0.5,1619.2335,62.0,20.0,0.94,0.51,0.26,0.125,0.035,0.015
F,Netherlands,1922.64,2026-03-31,UEFA,0.0,2.2,2.4,1.8,3.0,0.6,1561.9764,62.0,20.0,0.9,0.435,0.28,0.135,0.08,0.015
F,Japan,1901.41,2026-05-31,AFC,0.0,3.0,2.3,1.6,1.9,0.6,1754.9608,1.0,20.0,0.91,0.45,0.25,0.105,0.04,0.015
H,Uruguay,1886.35,2026-03-31,CONMEBOL,0.0,1.2,1.6,-0.6,1.0,0.9,1772.1097000000002,62.0,20.0,0.83,0.35,0.165,0.085,0.03,0.015
D,Turkey,1884.23,2026-03-31,UEFA,0.0,2.6,2.2,1.4,2.1,1.4,1750.2248,62.0,20.0,0.72,0.515,0.23,0.09,0.035,0.015
