form_ppg_5,form_ppg_10,gd_5,gf_10,ga_10,opp_avg_rating_10,rest_days,matches_seen,team
1.8,1.9,0.6,1.8,0.7,1517.002944028886,2550,20,Abkhazia
0.4,0.6,-0.8,0.5,1.3,1359.959,230,20,Afghanistan
1.2,1.7,-0.2,1.0,0.8,1583.1511999999998,62,20,Albania
0.6,0.6,-2.6,0.9,3.2,1566.438,1500,20,Alderney
2.0,2.3,1.6,2.3,0.5,1648.6801,62,20,Algeria
0.0,0.16666666666666666,-2.8,0.5,2.8333333333333335,1497.1512400481433,6934,6,Ambazonia
0.0,0.1,-3.8,0.6,6.6,1303.7770999999998,65,20,American Samoa
2.6,2.6,1.6,2.3,0.9,1565.2145440288857,4742,13,Andalusia
0.2,0.3,-1.6,0.3,1.8,1564.0765999999999,3,20,Andorra
1.0,1.0,-0.4,1.1,1.3,1569.5656999999999,154,20,Angola
1.2,0.6,-1.6,0.8,2.8,1254.7558000000001,64,20,Anguilla
0.4,0.2,-1.2,0.3,2.2,1387.4618999999998,195,20,Antigua and Barbuda
2.0,1.7,0.6,1.6,1.2,1551.8506000000002,4376,10,Arameans Suryoye
3.0,2.5,3.0,2.5,0.4,1695.8102,62,20,Argentina
0.0,0.4,-2.6,0.9,3.4,1698.4599000000003,64,20,Armenia
2.0,1.9,0.2,3.1,1.3,1511.1210999999998,2550,11,Artsakh
2.0,1.4,0.8,1.8,2.0,1284.959,64,20,Aruba
3.0,3.0,2.0,3.0,1.0,1519.788,37717,1,Asturias
1.2,1.8,0.0,1.4,1.0,1754.2076000000002,2,20,Australia
2.0,2.5,1.2,2.8,0.5,1455.3255000000001,62,20,Austria
0.0,0.0,-1.5,0.5,2.0,1500.0,1443,2,Aymara
0.8,0.6,0.0,1.1,2.0,1665.6737,63,20,Azerbaijan
0.0,0.4,-3.6,1.2,3.9,1190.3611999999998,64,20,Bahamas
1.2,0.7,-0.6,0.9,1.7,1553.7975000000001,174,20,Bahrain
1.0,1.3,-0.6,1.2,1.3,1270.0039000000002,67,20,Bangladesh
0.6,0.9,-4.6,1.4,3.8,1524.090944028886,2564,12,Barawa
0.6,0.6,-1.2,1.2,2.3,1305.4194000000002,64,20,Barbados
2.2,2.2,1.2,2.2,0.7,1669.8939999999998,198,20,Basque Country
1.6,1.1,0.2,1.2,2.3,1686.3776000000003,64,20,Belarus
2.2,2.2,2.4,3.5,1.0,1548.721,62,20,Belgium
1.2,1.0,0.0,1.5,2.7,1484.9398,63,20,Belize
1.8,1.5,-0.4,0.9,1.4,1587.5315999999998,62,20,Benin
0.2,0.7,-3.2,1.1,2.8,1542.6473999999998,68,20,Bermuda
0.0,0.4,-3.0,0.3,2.6,1255.896,195,20,Bhutan
2.0,2.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1506.293,1468,3,Biafra
1.4,1.3,0.4,0.9,1.3,1769.8784,62,20,Bolivia
0.6,0.6,-1.8,0.9,2.2,1383.1914999999997,64,20,Bonaire
1.4,1.4,0.4,2.0,1.1,1596.1887,3,20,Bosnia and Herzegovina
0.6,0.7,-1.8,0.6,1.8,1548.81,62,20,Botswana
2.0,1.9,1.4,2.4,1.0,1812.5126,1,20,Brazil
2.0,1.1,1.6,1.6,1.5,1271.6843999999999,64,20,British Virgin Islands
1.8,1.5,0.2,1.3,1.4,1493.0845,4752,12,Brittany
0.6,0.7,-2.8,0.4,2.4,1238.8395,195,20,Brunei
1.8,1.0,0.8,1.6,2.7,1729.1118000000001,63,20,Bulgaria
1.4,2.2,0.6,2.0,0.9,1519.9058,62,20,Burkina Faso
0.0,0.7,-2.2,0.6,1.4,1560.1207,6,20,Burundi
0.2,0.8,-0.8,1.4,2.0,1334.7512,200,20,Cambodia
1.8,1.7,0.2,1.0,0.7,1617.2406999999998,62,20,Cameroon
1.4,1.7,0.4,1.1,0.4,1729.6792,62,20,Canada
2.25,2.25,2.0,2.75,0.75,1459.32575,6729,4,Canary Islands
1.2,1.7,0.2,1.7,1.0,1606.2716,1,20,Cape Verde
2.0,1.8571428571428572,2.2,3.2857142857142856,2.0,1500.5945714285713,2564,7,Cascadia
1.6,1.9,0.6,2.1,1.1,1698.6948,2625,20,Catalonia
1.4,1.1,0.6,0.9,1.7,1272.7363,64,20,Cayman Islands
1.2,0.7,-1.4,0.6,2.2,1508.2883,232,20,Central African Republic
1.5,1.5,-1.0,1.0,2.0,1534.3187201444298,37444,2,Central Spain
0.2,0.3,-1.2,0.8,2.1,1505.7211000000002,196,20,Chad
0.0,0.4,-5.0,1.5,5.6,1489.759644028886,2346,16,Chagos Islands
1.6,1.5714285714285714,1.0,2.0,1.1428571428571428,1502.5927142857142,1066,7,Chameria
0.3333333333333333,0.3333333333333333,-8.666666666666666,1.0,9.666666666666666,1522.6708134296198,7408,3,Chechnya
2.4,1.4,0.6,1.1,1.4,1806.2976999999998,63,20,Chile
1.4,1.3,0.0,0.9,1.2,1652.154,62,20,China
0.0,0.0,-2.0,0.0,2.0,1513.218,5268,1,Cilento
1.4,1.8,0.2,2.1,1.0,1842.1391000000003,64,20,Colombia
0.6,0.7,-0.6,1.1,1.5,1594.1905000000002,62,20,Comoros
0.2,0.5,-1.0,0.6,2.3,1550.8465,230,20,Congo
0.6,0.6,-1.6,0.5,3.3,1366.7782000000002,633,20,Cook Islands
1.8,1.7777777777777777,0.4,1.1111111111111112,0.5555555555555556,1605.752,3293,9,Corsica
1.0,1.0,-0.6,1.2,1.5,1666.025,62,20,Costa Rica
2.0,2.111111111111111,0.6,2.111111111111111,1.4444444444444444,1575.226111111111,3998,9,County of Nice
1.8,1.8,-0.8,1.4,2.2,1478.4112,7128,5,Crimea
2.4,2.5,1.0,2.9,0.8,1551.1032,62,20,Croatia
1.6,1.1,0.6,1.0,1.9,1401.2492,64,20,Cuba
0.8,1.2,-0.4,1.6,1.6,1593.6446,2,20,Curaçao
1.2,0.9,0.0,1.5,1.8,1525.2272,63,20,Cyprus
2.2,1.6,1.6,1.8,1.3,1565.6774,1,20,Czech Republic
2.2,1.7,1.8,2.1,0.9,1558.5988000000002,11884,20,Czechoslovakia
2.0,2.3,1.0,1.2,0.3,1594.2924,62,20,DR Congo
0.0,0.0,-13.0,0.14285714285714285,14.142857142857142,1506.8375714285714,4377,7,Darfur
1.6,2.1,0.8,2.9,1.0,1628.7076,62,20,Denmark
0.0,0.2,-2.6,0.5,2.7,1505.2989999999998,187,20,Djibouti
0.2,0.7,-1.8,0.7,1.8,1312.5977000000003,63,20,Dominica
1.2,1.0,0.2,1.3,1.2,1572.9344,64,20,Dominican Republic
1.6,1.3333333333333333,0.4,1.3333333333333333,1.1666666666666667,1516.7260000000003,3196,6,Donetsk PR
1.5,1.5,0.5,2.0,1.5,1449.7235,3589,2,Délvidék
1.2,1.2,-0.2,3.0,3.2,1484.340888057772,332,5,East Turkestan
1.8,1.6,0.6,0.9,0.5,1829.743,2,20,Ecuador
1.6,2.1,0.8,1.4,0.5,1716.3359999999998,4,20,Egypt
0.8,0.7,-1.4,0.5,1.7,1634.6204,64,20,El Salvador
3.0,3.0,3.5,4.5,1.0,1415.933,1416,2,Elba Island
2.0,1.5,0.8,1.6,1.4,1527.4170880577717,2920,20,Ellan Vannin
2.0,2.2,1.6,2.2,0.5,1619.2335,62,20,England
0.8,0.8,-0.6,0.8,1.6,1509.1509999999998,62,20,Equatorial Guinea
0.0,0.1,-1.6,0.4,2.1,1467.5426,2456,20,Eritrea
1.0,0.6,-0.6,0.9,2.2,1578.5916,63,20,Estonia
0.4,0.5,-1.6,0.7,2.4,1550.2278,231,20,Eswatini
1.2,0.9,0.0,1.1,2.0,1537.9429,232,20,Ethiopia
0.2,0.1,-2.6,0.7,3.3,1484.1203,1054,20,Falkland Islands
2.4,1.8,1.0,1.3,0.9,1509.8943,65,20,Faroe Islands
1.8,1.4,0.2,1.1,1.6,1547.8571440288858,3279,12,Felvidék
0.0,0.7,-4.4,0.9,2.9,1478.3926,193,20,Fiji
1.4,1.3,0.2,1.2,1.6,1618.2649000000001,1,20,Finland
2.6,2.5,1.8,2.7,1.1,1749.6181999999997,64,20,France
2.0,2.0,-1.0,2.6666666666666665,3.6666666666666665,1405.0303333333334,2533,3,Franconia
0.4,1.1,-0.6,1.7,1.5,1408.3343,559,20,French Guiana
0.6,0.4,-3.8,1.3,3.9,1439.1284999999998,319,20,Frøya
0.2,1.1,-1.0,1.8,1.9,1555.4079,63,20,Gabon
1.4,1.2,-1.2,1.3,2.1,1661.4567440288859,741,12,Galicia
0.8,1.4,0.4,2.2,1.6,1547.9160000000002,3,20,Gambia
0.8,1.1,-1.2,1.3,1.8,1673.6237,64,20,Georgia
2.6,2.2,1.2,1.9,1.3,1644.9461,13046,20,German DR
3.0,2.4,2.8,2.6,0.9,1641.4125,1,20,Germany
0.0,1.3,-2.0,1.4,1.3,1675.0816,10,20,Ghana
0.0,0.0,-2.6,0.3,3.1,1609.6485,196,20,Gibraltar
1.2,0.9,2.2,2.9,1.9,1499.717,3259,20,Gotland
1.0,1.4,-0.4,2.6,1.4,1556.2018,319,14,Gozo
1.0,1.4,-0.4,1.8,1.4,1700.4332000000002,62,20,Greece
0.8,1.5,-2.6,1.4,2.2,1469.1946,730,20,Greenland
0.6,1.5,-2.2,1.7,2.1,1399.3380000000002,16,20,Grenada
1.2,1.6,-0.6,1.5,1.1,1502.4672999999998,342,20,Guadeloupe
1.2,0.7,-0.6,1.3,2.0,1205.3169,65,20,Guam
1.4,1.2,-1.0,1.3,1.9,1665.8651999999997,66,20,Guatemala
1.8,1.8,0.6,2.3,1.0,1533.1797000000001,1054,20,Guernsey
1.2,1.4,0.2,1.2,0.8,1439.7232,62,20,Guinea
0.8,0.5,-1.0,0.6,1.7,1511.4352999999999,62,20,Guinea-Bissau
3.0,2.4,2.2,2.6,1.2,1348.6671,63,20,Guyana
0.3333333333333333,0.3333333333333333,-2.3333333333333335,0.6666666666666666,3.0,1387.8776666666665,7132,3,Găgăuzia
1.4,1.3,-0.2,1.2,1.1,1638.1954,62,20,Haiti
1.2,1.3,0.2,2.3,2.9,1453.2691,319,20,Hitra
1.0,1.0,-1.3333333333333333,2.0,3.3333333333333335,1450.265666666667,1028,3,Hmong
1.2,1.4,0.2,1.0,0.7,1660.6688000000001,62,20,Honduras
1.6,1.6,1.6,1.9,0.9,1271.6351,195,20,Hong Kong
1.6,1.5,0.2,1.4,1.3,1681.0827999999997,62,20,Hungary
0.4,0.9,-1.4,1.6,1.9,1774.6984,1,20,Iceland
0.2,0.6,-1.0,0.6,1.1,1353.4878999999999,2,20,India
0.8,1.3,0.2,1.5,1.6,1554.5649,63,20,Indonesia
1.6,1.5,1.2,1.7,0.8,1658.1202999999998,3,20,Iran
1.8,2.0,0.2,1.1,0.7,1582.8405,3,20,Iraq
1.8,1.5,1.2,2.3,0.9,1549.9616,3649,20,Iraqi Kurdistan
2.4,2.1,3.2,3.5,1.2,1477.2749,318,20,Isle of Man
1.8,2.2,0.4,1.9,0.9,1562.3229,1054,20,Isle of Wight
1.0,1.4,-1.0,2.0,2.1,1617.4002,67,20,Israel
2.0,2.2,0.8,2.4,1.3,1560.8038000000001,62,20,Italy
2.4,2.2,1.6,2.0,0.7,1645.8572,62,20,Ivory Coast
1.8,1.7,0.0,1.1,0.7,1526.4420000000002,2,20,Jamaica
3.0,2.3,1.6,1.9,0.6,1754.9608,1,20,Japan
